dataset_type,policy_name,policy_version,case_name,episode_id,step,x,y,direction,next_x,next_y,next_direction,front_blocked,left_blocked,right_blocked,true_front_blocked,true_left_blocked,true_right_blocked,distance_to_goal,dx_to_goal,dy_to_goal,action,reward,done,episode_success,is_demonstration_accepted
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,3,1,2,north,1,1,north,0,0,0,0,0,0,7,6,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,4,1,1,north,1,0,north,0,0,0,0,0,0,8,6,2,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,5,1,0,north,1,0,east,1,0,0,1,0,0,9,6,3,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,6,1,0,east,2,0,east,0,1,0,0,1,0,9,6,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,7,2,0,east,3,0,east,0,1,0,0,1,0,8,5,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,8,3,0,east,4,0,east,0,1,0,0,1,0,7,4,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,9,4,0,east,5,0,east,0,1,0,0,1,0,6,3,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,10,5,0,east,6,0,east,0,1,0,0,1,0,5,2,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,11,6,0,east,7,0,east,0,1,0,0,1,0,4,1,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,12,7,0,east,7,0,south,1,1,0,1,1,0,3,0,3,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,13,7,0,south,7,1,south,0,1,0,0,1,0,3,0,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,14,7,1,south,7,2,south,0,1,0,0,1,0,2,0,2,forward,0.90,0,1,true
