dataset_type,policy_name,policy_version,case_name,episode_id,step,x,y,direction,next_x,next_y,next_direction,front_blocked,left_blocked,right_blocked,true_front_blocked,true_left_blocked,true_right_blocked,distance_to_goal,dx_to_goal,dy_to_goal,action,reward,done,episode_success,is_demonstration_accepted
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,13,7,3,south,7,4,south,0,1,0,0,1,0,4,-1,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,14,7,4,south,7,5,south,0,1,0,0,1,0,3,-1,2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,15,7,5,south,7,6,south,0,1,0,0,1,0,2,-1,1,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,16,7,6,south,7,7,south,0,1,0,0,1,0,1,-1,0,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,17,7,7,south,7,7,west,1,1,0,1,1,0,2,-1,-1,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,18,7,7,west,6,7,west,0,1,0,0,1,0,2,-1,-1,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,19,6,7,west,5,7,west,0,1,0,0,1,0,1,0,-1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,20,5,7,west,4,7,west,0,1,0,0,1,0,2,1,-1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,21,4,7,west,3,7,west,0,1,0,0,1,0,3,2,-1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,22,3,7,west,2,7,west,0,1,0,0,1,0,4,3,-1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,23,2,7,west,1,7,west,0,1,0,0,1,0,5,4,-1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,24,1,7,west,0,7,west,0,1,0,0,1,0,6,5,-1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,25,0,7,west,0,7,north,1,1,0,1,1,0,7,6,-1,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,26,0,7,north,0,6,north,0,1,0,0,1,0,7,6,-1,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,27,0,6,north,0,5,north,0,1,0,0,1,0,6,6,0,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,28,0,5,north,0,4,north,0,1,0,0,1,0,7,6,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,29,0,4,north,0,3,north,0,1,0,0,1,0,8,6,2,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,30,0,3,north,0,3,east,1,1,0,1,1,0,9,6,3,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,31,0,3,east,1,3,east,0,1,0,0,1,0,9,6,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,32,1,3,east,2,3,east,0,0,0,0,0,0,8,5,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,33,2,3,east,3,3,east,0,1,0,0,1,0,7,4,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,34,3,3,east,4,3,east,0,1,0,0,1,0,6,3,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,35,4,3,east,5,3,east,0,1,0,0,1,0,5,2,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,36,5,3,east,6,3,east,0,1,0,0,1,0,4,1,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,37,6,3,east,6,3,south,0,1,0,0,1,0,3,0,3,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,38,6,3,south,6,4,south,0,0,0,0,0,0,3,0,3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,39,6,4,south,6,5,south,0,0,0,0,0,0,2,0,2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,corridor_right_turn,v0_5_corridor_right_turn_5,40,6,5,south,6,6,south,0,0,0,0,0,0,1,0,1,forward,10.00,1,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,0,1,4,east,1,4,north,1,0,0,1,0,0,5,5,0,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,1,1,4,north,1,3,north,0,0,1,0,0,1,5,5,0,forward,-1.10,0,1,true
